"ID";"Counts";"Category"
"P:GO:0051028";5;"Biological Process"
"P:GO:0050900";5;"Biological Process"
"P:GO:0050766";5;"Biological Process"
"P:GO:0050731";5;"Biological Process"
"P:GO:0048812";5;"Biological Process"
"P:GO:0048706";5;"Biological Process"
"P:GO:0048041";5;"Biological Process"
"P:GO:0046330";5;"Biological Process"
"P:GO:0046034";5;"Biological Process"
"P:GO:0045727";5;"Biological Process"
"P:GO:0045471";5;"Biological Process"
"P:GO:0043406";5;"Biological Process"
"P:GO:0042787";5;"Biological Process"
"P:GO:0042472";5;"Biological Process"
"P:GO:0035987";5;"Biological Process"
"P:GO:0034505";5;"Biological Process"
"P:GO:0034394";5;"Biological Process"
"P:GO:0033138";5;"Biological Process"
"P:GO:0032956";5;"Biological Process"
"P:GO:0032496";5;"Biological Process"
"P:GO:0032091";5;"Biological Process"
"P:GO:0031647";5;"Biological Process"
"P:GO:0031398";5;"Biological Process"
"P:GO:0030866";5;"Biological Process"
"P:GO:0030212";5;"Biological Process"
"P:GO:0030041";5;"Biological Process"
"P:GO:0030032";5;"Biological Process"
"P:GO:0023014";5;"Biological Process"
"P:GO:0021987";5;"Biological Process"
"P:GO:0019882";5;"Biological Process"
"P:GO:0019068";5;"Biological Process"
"P:GO:0016525";5;"Biological Process"
"P:GO:0014911";5;"Biological Process"
"P:GO:0010812";5;"Biological Process"
"P:GO:0010718";5;"Biological Process"
"P:GO:0010501";5;"Biological Process"
"P:GO:0009612";5;"Biological Process"
"P:GO:0008202";5;"Biological Process"
"P:GO:0007420";5;"Biological Process"
"P:GO:0007409";5;"Biological Process"
"P:GO:0007399";5;"Biological Process"
"P:GO:0007040";5;"Biological Process"
"P:GO:0007016";5;"Biological Process"
"P:GO:0006977";5;"Biological Process"
"P:GO:0006919";5;"Biological Process"
"P:GO:0006909";5;"Biological Process"
"P:GO:0006816";5;"Biological Process"
"P:GO:0006641";5;"Biological Process"
"P:GO:0006338";5;"Biological Process"
"P:GO:0006325";5;"Biological Process"
"P:GO:0006098";5;"Biological Process"
"P:GO:0006094";5;"Biological Process"
"P:GO:0001958";5;"Biological Process"
"P:GO:0001957";5;"Biological Process"
"P:GO:0001938";5;"Biological Process"
"P:GO:0001933";5;"Biological Process"
"P:GO:0001701";5;"Biological Process"
"P:GO:0001542";5;"Biological Process"
"P:GO:0000226";5;"Biological Process"
"P:GO:0000080";5;"Biological Process"
"F:GO:0048365";5;"Molecular Function"
"F:GO:0043236";5;"Molecular Function"
"F:GO:0043022";5;"Molecular Function"
"F:GO:0042826";5;"Molecular Function"
"F:GO:0042056";5;"Molecular Function"
"F:GO:0036094";5;"Molecular Function"
"F:GO:0023026";5;"Molecular Function"
"F:GO:0017124";5;"Molecular Function"
"F:GO:0016788";5;"Molecular Function"
"F:GO:0016616";5;"Molecular Function"
"F:GO:0008234";5;"Molecular Function"
"F:GO:0008047";5;"Molecular Function"
"F:GO:0005522";5;"Molecular Function"
"F:GO:0005520";5;"Molecular Function"
"F:GO:0004930";5;"Molecular Function"
"F:GO:0004888";5;"Molecular Function"
"F:GO:0004714";5;"Molecular Function"
"F:GO:0004553";5;"Molecular Function"
"F:GO:0003823";5;"Molecular Function"
"F:GO:0003713";5;"Molecular Function"
"F:GO:0001530";5;"Molecular Function"
"F:GO:0000988";5;"Molecular Function"
"F:GO:0000981";5;"Molecular Function"
"F:GO:0000049";5;"Molecular Function"
"C:GO:0090637";5;"Cellular Component"
"C:GO:0090636";5;"Cellular Component"
"C:GO:0045335";5;"Cellular Component"
"C:GO:0043202";5;"Cellular Component"
"C:GO:0043195";5;"Cellular Component"
